City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,qaqortoq,60.7167,-46.0333,-2.78,96,100,8.44,GL,1702317845
229,fort mcmurray,56.7268,-111.381,-11.23,61,0,5.14,CA,1702317614
230,yung shue wan,22.2333,114.1167,24.06,85,3,1.12,HK,1702317847
231,bayanhongor,46.7167,100.1167,-18.37,98,100,1.68,MN,1702317849
232,san luis,-33.295,-66.3356,32.87,26,4,8.53,AR,1702317837
233,quellon,-43.1167,-73.6167,11.02,96,100,0.31,CL,1702317726
234,anadyr,64.75,177.4833,-25.56,83,0,5.0,RU,1702317849
235,rio grande,-32.035,-52.0986,28.06,68,62,5.35,BR,1702317850
236,soroti,1.7146,33.6111,23.72,66,76,0.19,UG,1702317850
237,arteche,12.2645,125.4048,25.49,90,81,2.85,PH,1702317851
238,jabat,7.75,168.9751,27.81,74,91,9.24,MH,1702317851
239,vernon,50.2581,-119.2691,2.09,94,96,0.51,CA,1702317609
240,san luis de la loma,17.2706,-100.8939,30.27,55,100,0.68,MX,1702317851
241,qeshm,26.9581,56.2719,19.94,50,95,3.34,IR,1702317852
242,st anne,49.715,-2.2042,12.25,94,75,3.6,GG,1702317852
243,bokani,9.4333,5.2,27.53,20,0,1.75,NG,1702317852
244,tsetserleg,47.475,101.4542,-22.1,98,88,0.43,MN,1702317852
245,timbuktu,16.7735,-3.0074,24.76,15,0,4.84,ML,1702317637
246,lospalos,-8.5186,127.0025,23.89,89,100,1.11,TL,1702317853
247,ain sukhna,29.6002,32.3167,18.47,40,0,2.75,EG,1702317854
248,uliastay,47.7417,96.8444,-16.76,82,100,2.01,MN,1702317855
249,melfi,40.9965,15.6514,6.84,92,60,4.83,IT,1702317855
250,bengkulu,-3.8004,102.2655,23.9,95,71,1.54,ID,1702317855
251,plouzane,48.3833,-4.6167,13.18,94,100,7.2,FR,1702317856
252,vikarabad,17.3333,77.9,18.33,57,19,3.0,IN,1702317856
253,stung treng,13.5259,105.9683,22.82,72,99,0.97,KH,1702317856
254,mount isa,-20.7333,139.5,27.87,36,100,4.12,AU,1702317858
255,lubango,-14.9172,13.4925,18.11,90,96,1.45,AO,1702317858
256,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702317858
257,al kharijah,25.4514,30.5464,17.89,36,0,4.17,EG,1702317859
258,mgandu,-5.95,34.1333,17.94,89,100,1.68,TZ,1702317859
259,montepuez,-13.1256,38.9997,24.94,70,100,3.43,MZ,1702317859
260,villa huidobro,-34.8383,-64.5869,34.9,20,98,9.61,AR,1702317860
261,tual,-5.6667,132.75,28.89,76,96,6.55,ID,1702317860
262,troitsko-pechorsk,62.7084,56.1964,-22.95,89,100,4.92,RU,1702317860
263,shitanjing,39.2342,106.3439,-2.19,39,0,4.26,CN,1702317861
264,fort bragg,35.139,-79.006,9.34,63,6,0.89,US,1702317861
265,hilo,19.7297,-155.09,25.34,96,0,2.57,US,1702317861
266,bambari,5.768,20.6757,27.17,30,84,1.66,CF,1702317861
267,yashan,22.1975,109.9419,21.57,89,47,0.93,CN,1702317862
268,yelizovo,53.1873,158.3805,-4.92,63,40,1.0,RU,1702317862
269,santa elena de uairen,4.6167,-61.1333,29.64,40,66,1.33,VE,1702317862
270,nova sintra,14.8667,-24.7167,22.23,70,18,10.75,CV,1702317862
271,tanggu,39.0211,117.6469,-4.02,61,100,1.29,CN,1702317863
272,kalundborg,55.6795,11.0886,2.79,97,100,6.08,DK,1702317863
273,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,87,40,7.6,RU,1702317863
274,labuan,5.2767,115.2417,27.2,89,20,0.0,MY,1702317863
275,bardai,11.65,7.2333,19.53,23,9,4.45,NG,1702317864
276,manlleu,42.0023,2.2848,14.07,88,100,1.34,ES,1702317864
277,salekhard,66.53,66.6019,-27.8,100,100,3.86,RU,1702317865
278,pen,18.75,73.0833,27.02,75,9,0.73,IN,1702317865
279,ribeira brava,32.65,-17.0667,22.06,82,100,2.8,PT,1702317660
280,colonia,50.9333,6.95,10.23,83,75,2.57,DE,1702317865
281,kirsehir,39.3333,34.1667,6.81,82,100,0.16,TR,1702317866
282,gongchangling,41.1167,123.45,-13.14,65,43,2.72,CN,1702317866
283,tofol,5.3248,163.0078,27.61,81,100,6.5,FM,1702317867
284,lorengau,-2.0226,147.2712,27.49,86,100,5.43,PG,1702317867
285,labrador city,52.9463,-66.9114,-5.05,80,100,4.12,CA,1702317610
286,joniskis,56.2403,23.6153,-0.49,99,100,4.09,LT,1702317868
287,sept-iles,50.2001,-66.3821,2.29,98,100,2.06,CA,1702317723
288,aqadyr,48.2553,72.8483,-24.11,83,95,7.2,KZ,1702317868
289,siraha,26.6541,86.2087,16.37,46,0,1.48,NP,1702317868
290,puerto aysen,-45.4,-72.7,14.17,71,56,2.83,CL,1702317726
291,flying fish cove,-10.4217,105.6791,23.82,83,61,2.57,CX,1702317869
292,tungipara,22.9,89.9167,16.92,55,0,2.28,BD,1702317869
293,bestobe,52.4994,73.0975,-26.28,94,99,6.65,KZ,1702317869
294,pangai,-19.8,-174.35,25.06,65,40,2.57,TO,1702317870
295,pipar,26.3856,73.5378,16.71,23,3,2.31,IN,1702317870
296,ruteng,-8.6136,120.4721,17.32,95,100,1.52,ID,1702317870
297,laguna,38.421,-121.4238,13.38,77,0,1.54,US,1702317870
298,kingscliff,-28.2667,153.5667,21.54,88,64,0.0,AU,1702317871
299,bikenibeu village,1.3673,173.1241,25.98,94,75,0.51,KI,1702317873
300,ulsteinvik,62.3432,5.8487,0.97,83,16,0.89,NO,1702317873
301,luderitz,-26.6481,15.1594,16.59,82,0,12.81,NA,1702317874
302,gorontalo,0.5412,123.0595,23.83,95,69,1.72,ID,1702317874
303,ola,59.5833,151.2833,-7.49,94,100,4.95,RU,1702317874
304,sovetskaya gavan',48.9723,140.2878,-21.61,77,1,4.45,RU,1702317874
305,zhezqazghan,47.7833,67.7667,-22.72,70,73,9.03,KZ,1702317655
306,kayangel,8.0823,134.7173,28.26,77,11,7.09,PW,1702317875
307,dawesville,30.9224,-84.0091,13.71,50,0,2.57,US,1702317875
308,mahmutlar,36.949,36.1923,14.21,84,66,2.43,TR,1702317876
309,taro,-8.3862,115.28,23.0,78,56,1.41,ID,1702317876
310,nemuro,43.3236,145.575,1.81,58,81,3.9,JP,1702317676
311,sevsk,52.1491,34.4926,-2.15,96,100,5.14,RU,1702317876
312,touros,-5.1989,-35.4608,29.46,60,8,6.5,BR,1702317877
313,apatity,67.5641,33.4031,-17.09,99,97,4.76,RU,1702317877
314,malango,-2.9627,119.9001,21.08,99,100,1.63,ID,1702317877
315,moroni,-11.7022,43.2551,27.26,80,76,1.22,KM,1702317877
316,princeville,45.7668,-61.2985,16.53,91,100,7.72,CA,1702317446
317,mugia,43.1041,-9.2179,17.73,90,100,14.08,ES,1702317878
318,marsh harbour,26.5412,-77.0636,24.37,77,98,7.03,BS,1702317600
319,ad dawadimi,24.5077,44.3924,15.64,21,67,4.62,SA,1702317878
320,belmonte,-15.8631,-38.8828,29.95,55,73,3.63,BR,1702317878
321,alofi,-19.0595,-169.9187,24.94,100,99,3.6,NU,1702317879
322,labytnangi,66.6572,66.4183,-27.25,100,100,3.26,RU,1702317879
323,ghadamis,30.1337,9.5007,14.83,38,0,2.8,LY,1702317879
324,lompoc,34.6391,-120.4579,21.55,56,0,4.02,US,1702317879
325,shakhtersk,48.0625,38.5167,0.86,97,100,7.23,UA,1702317879
326,penrith,54.6658,-2.7576,6.3,93,22,2.09,GB,1702317880
327,nanao,37.05,136.9667,10.74,95,100,3.76,JP,1702317880
328,benguela,-12.5763,13.4055,26.48,79,82,1.97,AO,1702317880
329,cassilandia,-19.1133,-51.7342,37.36,29,100,1.35,BR,1702317880
330,cafayate,-26.073,-65.9761,28.93,39,3,5.49,AR,1702317881
331,kokkola,63.8385,23.1307,-7.91,86,100,2.06,FI,1702317881
332,mburucuya,-28.0454,-58.2245,30.77,43,0,4.48,AR,1702317881
333,mejit,10.2753,170.8646,27.02,70,84,9.14,MH,1702317881
334,derbent,42.0678,48.2899,6.46,81,100,9.17,RU,1702317881
335,kertih,4.5141,103.4483,25.01,100,91,0.0,MY,1702317881
336,ormara,25.2088,64.6357,24.23,29,22,3.99,PK,1702317882
337,vila franca do campo,37.7167,-25.4333,18.27,99,17,3.98,PT,1702317882
338,hanceville,34.0607,-86.7675,8.62,41,3,3.04,US,1702317606
339,pullman,46.7313,-117.1796,4.13,96,100,3.09,US,1702317322
340,meizhou,24.2977,116.1072,23.02,78,100,2.12,CN,1702317883
341,san francisco telixtlahuaca,17.3,-96.9,17.64,67,97,2.6,MX,1702317883
342,mizdah,31.4451,12.9801,13.21,52,0,3.54,LY,1702317883
343,grand falls-windsor,48.9332,-55.6649,13.06,88,100,3.13,CA,1702317883
344,wad az zaki,14.4619,32.2065,27.96,10,100,4.31,SD,1702317883
345,manaure,11.7751,-72.4445,28.24,71,2,8.14,CO,1702317883
346,lewistown,40.5992,-77.5714,5.08,77,100,7.72,US,1702317883
347,yeed,4.55,43.0333,30.67,39,93,3.37,SO,1702317884
348,dolbeau-mistassini,48.8763,-72.212,-3.64,83,100,5.64,CA,1702317884
349,zaozersk,69.4005,32.4476,-13.91,88,68,6.77,RU,1702317884
350,campo gallo,-26.5833,-62.85,36.22,24,3,5.89,AR,1702317884
351,svetlyy,54.675,20.1347,1.03,99,100,1.69,RU,1702317884
352,kirov,58.5966,49.6601,-19.67,88,99,4.92,RU,1702317884
353,greymouth,-42.4667,171.2,12.4,89,100,6.72,NZ,1702317884
354,kosh-agach,50.0,88.6667,-27.05,90,100,0.45,RU,1702317885
355,faya-largeau,17.9257,19.1043,20.37,29,0,6.35,TD,1702317885
356,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,6.69,EC,1702317809
357,codrington,-38.2667,141.9667,15.6,92,100,3.64,AU,1702317885
358,tinogasta,-28.0632,-67.5649,34.23,22,18,5.07,AR,1702317885
359,centenario,-38.8043,-68.14,29.86,25,0,7.2,AR,1702317647
360,rundu,-17.9333,19.7667,26.96,38,98,2.18,NA,1702317886
